l0 density,l1 density,min,max
0.27264404296875,1.6549072265625,-177,5
0.062744140625,1.52728271484375,-128,0
0.51910400390625,0.51910400390625,0,1
0.07122802734375,1.84423828125,-200,1
0.2081298828125,1.46295166015625,-90,4
0.06640625,1.4022216796875,-97,0
0.29180908203125,1.68212890625,-177,5
0.0234375,0.0614013671875,0,3
0.0958251953125,0.3056640625,0,18
0.06610107421875,1.306884765625,-144,2
0.1361083984375,0.76971435546875,-88,6
0.09161376953125,1.77667236328125,-106,0
0.08587646484375,2.2847900390625,-172,0
0.1328125,0.1328125,0,1
0.2510986328125,2.42071533203125,-110,3
0.02801513671875,0.997802734375,-172,0
0.05670166015625,1.33026123046875,-121,1
0.18267822265625,1.50482177734375,-107,1
0.0545654296875,1.62109375,-146,18
0.651123046875,2.512451171875,-153,1
0.09979248046875,2.3931884765625,-167,0
0.01763916015625,0.063720703125,-139,0
0.025634765625,1.131591796875,-201,0
0.01812744140625,0.01812744140625,0,1
0.0234375,0.938232421875,0,69
0.11175537109375,2.1046142578125,-110,0
0.44488525390625,2.44586181640625,-107,1
0.015625,0.186279296875,0,16
0.03997802734375,0.22393798828125,-115,0
0.0665283203125,1.6944580078125,-122,0
0.00836181640625,0.40948486328125,-159,0
0.0482177734375,1.15484619140625,-106,0
0.079345703125,1.48870849609375,-188,11
0.068603515625,1.90484619140625,-97,0
0.125,0.125,0,1
0.32342529296875,0.4332275390625,0,2
0.1640625,0.4110107421875,0,3
0.22235107421875,1.57269287109375,-103,1
0.40838623046875,0.40838623046875,0,1
0.05303955078125,2.9976806640625,-435,27
0.04461669921875,0.102783203125,-153,0
0.1624755859375,1.8548583984375,-175,1
0.0546875,0.20684814453125,0,5
0.11529541015625,1.60565185546875,-126,0
0.238525390625,5.12139892578125,-152,1
0.06536865234375,0.06536865234375,0,1
0.107177734375,1.1553955078125,-94,1
0.14715576171875,2.052978515625,-154,1
0.07427978515625,1.85980224609375,-149,1
0.265869140625,1.7900390625,-197,6
0.09375,0.09375,0,1
0.0838623046875,1.1416015625,-104,0
0.0374755859375,1.0782470703125,-140,0
0.0335693359375,1.35809326171875,-174,11
0.07708740234375,1.884765625,-168,0
0.1138916015625,1.35882568359375,-133,1
0.10223388671875,2.5062255859375,-233,1
0.3076171875,5.762451171875,-229,1
0.36834716796875,3.32427978515625,-291,1
0.06439208984375,1.55914306640625,-156,1
0.11492919921875,3.1705322265625,-90,0
0.03533935546875,0.88934326171875,-99,0
0.07440185546875,3.35076904296875,-159,0
0.1033935546875,2.21868896484375,-175,10
0.5299072265625,1.8291015625,-122,1
0.41314697265625,4.17413330078125,-159,3
0.72564697265625,4.640380859375,-417,2
1.0,1.0,1,1
0.144287109375,2.04876708984375,-90,0
0.21514892578125,5.2706298828125,-149,0
0.072509765625,1.7061767578125,-123,0
0.19732666015625,1.8126220703125,-132,6
0.06231689453125,1.11102294921875,-230,1
0.18621826171875,4.33184814453125,-118,0
0.0936279296875,1.712890625,-95,0
0.07623291015625,1.5064697265625,-100,0
0.05474853515625,2.15228271484375,-192,0
0.19293212890625,1.5947265625,-170,2
0.199951171875,2.4610595703125,-85,0
0.0545654296875,1.542724609375,-152,0
0.10406494140625,1.58343505859375,-122,0
0.7530517578125,0.7530517578125,0,1
0.828125,1.6484375,0,2
0.20562744140625,0.20562744140625,0,1
0.107666015625,2.15582275390625,-128,0
0.08428955078125,2.9615478515625,-114,0
0.30474853515625,1.71441650390625,-155,4
0.160400390625,3.41143798828125,-108,0
0.0198974609375,0.2667236328125,-215,0
0.06817626953125,1.729248046875,-172,0
0.0078125,0.0078125,0,1
0.15625,0.3358154296875,0,3
0.2047119140625,4.0048828125,-161,0
0.0906982421875,2.71588134765625,-171,20
0.074462890625,1.60760498046875,-111,0
0.984375,0.984375,0,1
0.1719970703125,1.78436279296875,-160,5
0.2623291015625,1.632568359375,-169,3
0.61920166015625,0.61920166015625,0,1
0.0762939453125,0.91204833984375,-109,0
0.23858642578125,0.23858642578125,0,1
0.11724853515625,0.31744384765625,-103,1
0.04425048828125,1.64996337890625,-173,1
0.6588134765625,0.96685791015625,-102,1
0.1334228515625,2.39678955078125,-238,13
0.17230224609375,4.4049072265625,-234,11
0.134521484375,2.565185546875,-91,0
0.1328125,0.1328125,0,1
0.01214599609375,0.01214599609375,-1,0
0.28125,1.2457275390625,0,9
0.0560302734375,1.2515869140625,-103,0
0.03460693359375,1.4593505859375,-140,35
0.0703125,0.0703125,0,1
0.390625,0.47711181640625,0,2
0.45904541015625,0.45904541015625,0,1
0.0565185546875,2.46917724609375,-130,0
0.07470703125,1.6339111328125,-124,0
0.19879150390625,2.86083984375,-85,0
0.0118408203125,0.28692626953125,-95,0
0.0128173828125,0.48876953125,-99,0
0.02490234375,0.02777099609375,-12,0
0.17803955078125,0.17803955078125,0,1
0.00958251953125,0.36181640625,-110,0
0.2095947265625,0.2095947265625,0,1
0.6953125,0.6953125,0,1
0.0078125,0.0078125,0,1
0.07867431640625,2.1126708984375,-189,1
0.049560546875,1.7332763671875,-100,0
0.01690673828125,0.97772216796875,-243,0
0.984375,1.2984619140625,0,3
0.171875,0.41839599609375,0,3
0.129638671875,2.52813720703125,-113,0
0.2362060546875,0.2362060546875,0,1
0.54400634765625,1.803466796875,-140,2
0.29058837890625,1.6256103515625,-156,2
0.15081787109375,2.9193115234375,-121,2
0.0633544921875,1.5684814453125,-176,1
0.045166015625,1.20074462890625,-101,0
0.37261962890625,5.72271728515625,-106,0
0.12823486328125,2.22161865234375,-97,0
0.4888916015625,2.34869384765625,-188,1
0.05169677734375,1.4276123046875,-194,0
0.00634765625,0.00634765625,-1,0
0.06719970703125,1.62548828125,-215,12
0.390625,0.390625,0,1
0.122802734375,2.44537353515625,-133,0
0.51983642578125,0.51983642578125,0,1
0.11376953125,1.18792724609375,-99,1
0.4364013671875,2.13140869140625,-129,1
0.2406005859375,6.916259765625,-101,0
0.28125,0.28125,0,1
0.113037109375,2.59161376953125,-136,0
0.09375,0.09375,0,1
0.390625,0.66302490234375,0,2
0.02593994140625,0.68890380859375,-182,0
0.0482177734375,1.27069091796875,-311,1
0.43487548828125,8.97723388671875,-145,0
0.02618408203125,0.61749267578125,-97,0
0.00860595703125,0.2509765625,-118,0
0.2255859375,4.06829833984375,-127,0
0.50909423828125,3.47857666015625,-212,1
0.3201904296875,0.3201904296875,0,1
0.0721435546875,0.28582763671875,-117,0
0.1328125,0.1328125,0,1
0.0997314453125,0.26873779296875,-81,0
0.17352294921875,3.1488037109375,-109,0
0.3203125,1.479736328125,0,6
0.1328125,0.1328125,0,1
0.31085205078125,1.7781982421875,-125,4
0.22003173828125,1.79339599609375,-205,1
0.31610107421875,8.43023681640625,-173,0
0.16607666015625,4.464599609375,-91,0
0.4217529296875,1.6893310546875,-142,2
0.08099365234375,1.51971435546875,-95,0
0.51593017578125,1.7359619140625,-112,2
0.06317138671875,1.53778076171875,-152,1
0.34375,0.34375,0,1
0.0950927734375,2.305908203125,-183,0
0.04736328125,0.83013916015625,-198,4
0.393798828125,1.855712890625,-111,4
0.0975341796875,2.92498779296875,-100,0
0.5087890625,2.1170654296875,-167,3
0.453125,0.453125,0,1
0.12713623046875,1.4437255859375,-95,0
