l0 density,l1 density,min,max
0.658447265625,2.1129150390625,-132,4
0.2686767578125,0.2686767578125,0,1
0.40850830078125,1.5821533203125,-121,3
0.0859375,0.08636474609375,0,2
0.308349609375,1.93096923828125,-128,1
0.81890869140625,7.43511962890625,-249,4
0.297607421875,3.14117431640625,-211,4
0.0703125,0.83831787109375,0,19
0.27630615234375,1.40185546875,-106,2
0.1986083984375,2.3114013671875,-192,5
0.1915283203125,2.13580322265625,-207,6
1.0,1.0,1,1
0.09100341796875,0.09100341796875,0,1
0.0546875,0.0546875,0,1
0.0384521484375,1.70330810546875,-229,2
0.28961181640625,2.4996337890625,-167,3
0.13470458984375,0.13470458984375,0,1
0.11993408203125,1.91485595703125,-130,2
0.5106201171875,0.5106201171875,0,1
0.10235595703125,0.10235595703125,-1,1
0.8671875,0.8671875,0,1
0.05902099609375,0.05902099609375,0,1
0.46209716796875,2.7003173828125,-123,0
0.27203369140625,2.456298828125,-96,1
0.5732421875,2.70819091796875,-106,0
0.244384765625,8.139892578125,-133,0
0.38262939453125,3.35107421875,-309,7
0.5726318359375,3.36419677734375,-153,2
0.12939453125,1.876220703125,-156,4
0.40185546875,3.20526123046875,-85,0
0.1397705078125,2.212646484375,-208,6
0.251953125,3.804443359375,-100,0
0.54925537109375,1.775146484375,-114,3
0.19970703125,1.70391845703125,-181,4
0.58294677734375,7.807373046875,-111,0
0.08544921875,1.60882568359375,-156,9
0.1314697265625,1.8839111328125,-90,0
0.46527099609375,4.99444580078125,-390,10
0.0992431640625,1.4893798828125,-118,3
0.966552734375,1.61676025390625,-150,4
0.10577392578125,1.7313232421875,-170,4
0.13690185546875,1.30169677734375,-105,2
0.125732421875,1.43634033203125,-132,4
0.2962646484375,1.87884521484375,-124,5
0.58319091796875,6.19500732421875,-200,0
0.39605712890625,3.6759033203125,-113,0
0.202392578125,2.6822509765625,-150,2
0.0301513671875,0.0301513671875,0,1
0.47772216796875,11.54913330078125,-169,0
0.58099365234375,0.588623046875,0,2
0.251708984375,2.24456787109375,-97,1
0.30023193359375,3.60101318359375,-229,3
0.5062255859375,1.53326416015625,-97,2
0.6571044921875,2.14471435546875,-106,4
0.1015625,0.1015625,0,1
0.277587890625,0.277587890625,0,1
0.1171875,0.234375,0,2
0.80413818359375,8.2987060546875,-114,0
0.0899658203125,1.666015625,-101,16
0.3125,0.3125,0,1
0.82135009765625,4.19305419921875,-124,0
0.6737060546875,0.6737060546875,0,1
0.0887451171875,0.615478515625,-228,6
0.085693359375,1.5924072265625,-106,13
0.47247314453125,0.975341796875,-114,3
0.00323486328125,0.00323486328125,0,1
0.04180908203125,0.04180908203125,0,1
0.4781494140625,0.5260009765625,-82,1
0.1640625,0.4921875,0,3
0.3826904296875,3.60455322265625,-145,1
0.09112548828125,1.33843994140625,-124,3
0.19677734375,3.99658203125,-147,13
0.13677978515625,2.9581298828125,-105,0
0.02642822265625,1.12127685546875,-94,0
0.23291015625,0.23291015625,0,1
0.1328125,0.76507568359375,0,13
0.05706787109375,1.3494873046875,-93,0
0.06842041015625,1.13433837890625,-102,2
0.2335205078125,0.46429443359375,-148,4
0.26910400390625,3.5028076171875,-209,4
0.128173828125,2.052490234375,-193,3
0.4757080078125,1.59149169921875,-108,2
0.47393798828125,0.4779052734375,-15,3
0.21435546875,0.21435546875,0,1
0.1328125,0.30120849609375,0,3
0.11572265625,0.66583251953125,-138,2
0.3203125,0.73809814453125,0,3
0.5474853515625,3.2142333984375,-138,0
0.11474609375,1.6119384765625,-111,2
0.0919189453125,1.67529296875,-115,1
0.07904052734375,0.07904052734375,0,1
0.1578369140625,0.1578369140625,0,1
0.10321044921875,3.81103515625,-112,0
0.6412353515625,3.169921875,-139,5
1.0,1.0,1,1
0.03662109375,0.03662109375,0,1
0.19097900390625,1.99603271484375,-129,2
0.161865234375,1.6337890625,-96,1
0.22869873046875,2.3944091796875,-162,3
0.74713134765625,2.71221923828125,-219,6
0.6070556640625,3.2596435546875,-103,0
0.21875,0.50787353515625,0,3
0.22564697265625,1.7430419921875,-89,9
1.0,1.30364990234375,1,3
0.12115478515625,1.616943359375,-174,5
0.22882080078125,2.40460205078125,-161,3
0.15625,0.15625,0,1
0.079833984375,2.04608154296875,-130,2
0.302978515625,4.119873046875,-169,0
0.1837158203125,2.13275146484375,-128,2
0.15863037109375,2.801513671875,-111,0
0.40228271484375,1.759521484375,-101,5
0.42144775390625,0.42144775390625,0,1
0.98028564453125,4.546630859375,-158,5
0.03125,0.26910400390625,0,13
