l0 density,l1 density,min,max
0.486083984375,4.564208984375,-64,76
0.114013671875,0.82330322265625,-29,37
0.32757568359375,3.3076171875,-45,57
0.10443115234375,1.072998046875,-38,50
0.19219970703125,1.87286376953125,-29,39
0.11767578125,0.8074951171875,-24,31
0.24603271484375,2.52294921875,-58,71
0.14385986328125,0.16632080078125,-2,3
0.1390380859375,0.28826904296875,-8,11
0.633544921875,5.29742431640625,-57,66
0.1168212890625,1.01116943359375,-36,48
0.1314697265625,0.89642333984375,-25,33
0.11279296875,0.720703125,-23,29
0.15557861328125,2.1387939453125,-58,68
0.145263671875,1.14453125,-25,34
0.13677978515625,1.15606689453125,-30,40
0.108154296875,1.518798828125,-48,58
0.2376708984375,2.7445068359375,-55,65
0.27008056640625,1.78326416015625,-63,70
0.38568115234375,3.335693359375,-38,49
0.1446533203125,0.17724609375,-2,4
0.0721435546875,0.65264892578125,-78,95
0.0921630859375,0.54449462890625,-20,27
0.3555908203125,2.21368408203125,-29,38
0.16729736328125,1.9517822265625,-77,90
0.21051025390625,1.17742919921875,-50,38
0.2198486328125,1.284423828125,-32,42
0.250732421875,0.78564453125,-54,48
0.17437744140625,2.31854248046875,-46,61
0.1055908203125,0.4862060546875,-14,19
0.1217041015625,0.93194580078125,-26,34
0.1077880859375,0.41217041015625,-13,17
0.1544189453125,1.26629638671875,-39,53
0.10638427734375,0.5068359375,-15,20
0.12969970703125,0.96636962890625,-30,40
0.13092041015625,0.2955322265625,-11,12
0.13958740234375,0.29803466796875,-9,11
0.2408447265625,2.257568359375,-44,54
0.1168212890625,0.7340087890625,-22,29
0.56646728515625,4.80914306640625,-41,49
0.18255615234375,1.96160888671875,-44,54
0.2576904296875,3.13250732421875,-64,77
0.12939453125,0.4437255859375,-15,34
0.16949462890625,0.331787109375,-11,12
0.10308837890625,0.4686279296875,-16,20
0.1060791015625,0.49835205078125,-15,19
0.12158203125,0.406005859375,-14,17
0.1234130859375,0.3839111328125,-13,17
0.10675048828125,0.52386474609375,-17,22
0.14727783203125,0.1905517578125,-3,5
0.2625732421875,2.22344970703125,-38,50
0.1080322265625,0.63104248046875,-21,28
0.1192626953125,0.875,-27,36
0.10614013671875,0.61370849609375,-22,30
0.0955810546875,0.40069580078125,-15,19
0.1407470703125,1.9471435546875,-72,92
0.125,1.127685546875,-37,49
0.2607421875,1.0986328125,-24,32
0.34136962890625,2.55523681640625,-59,73
0.15191650390625,1.44134521484375,-29,39
0.26385498046875,2.063720703125,-34,43
0.10467529296875,0.557373046875,-21,28
0.1754150390625,0.7039794921875,-27,36
0.76092529296875,7.72100830078125,-70,77
0.0970458984375,0.1470947265625,-3,5
0.08148193359375,0.44805908203125,-21,28
0.2958984375,3.341064453125,-41,53
0.33221435546875,3.9639892578125,-66,77
0.14031982421875,0.25372314453125,-6,8
0.13446044921875,0.42657470703125,-16,18
0.129150390625,0.92474365234375,-25,33
0.06463623046875,0.5631103515625,-29,38
0.138916015625,1.373046875,-37,48
0.11651611328125,0.89593505859375,-31,41
0.7205810546875,8.25372314453125,-111,124
0.10369873046875,0.5111083984375,-20,25
0.12640380859375,1.29876708984375,-30,40
0.12884521484375,1.59381103515625,-99,66
0.15167236328125,0.20770263671875,-3,5
0.190185546875,1.55487060546875,-32,44
0.0777587890625,1.84197998046875,-65,80
0.12310791015625,1.00592041015625,-33,41
0.2872314453125,2.76513671875,-64,79
0.11297607421875,0.37255859375,-13,16
0.12139892578125,0.6904296875,-27,33
0.14556884765625,1.82958984375,-48,62
0.14727783203125,0.24810791015625,-6,8
0.13677978515625,0.27496337890625,-8,10
0.12847900390625,0.98828125,-23,31
0.17626953125,2.9652099609375,-97,120
0.13934326171875,0.2293701171875,-5,7
0.10333251953125,0.9056396484375,-26,35
0.09503173828125,0.6094970703125,-24,33
0.12139892578125,0.9354248046875,-29,37
0.12457275390625,1.3348388671875,-38,50
0.28173828125,4.26263427734375,-46,53
0.14642333984375,1.42095947265625,-38,50
0.2117919921875,1.22064208984375,-36,45
0.1265869140625,1.1610107421875,-40,50
0.1339111328125,1.21478271484375,-36,47
0.21063232421875,0.49200439453125,-10,14
0.13037109375,1.16827392578125,-35,46
0.264404296875,2.593017578125,-27,37
0.14556884765625,0.76104736328125,-49,58
0.1258544921875,1.23291015625,-44,55
0.13641357421875,0.45269775390625,-12,20
0.15191650390625,0.48297119140625,-12,16
0.1134033203125,0.69146728515625,-21,28
0.1304931640625,1.05987548828125,-28,38
0.10577392578125,0.51971435546875,-17,23
0.14385986328125,1.467041015625,-45,56
0.1239013671875,0.50018310546875,-14,19
0.08111572265625,0.36309814453125,-32,28
0.10528564453125,0.4581298828125,-14,18
0.1319580078125,0.3865966796875,-33,18
0.10870361328125,0.6236572265625,-21,27
0.11138916015625,0.76177978515625,-26,34
0.26751708984375,2.45220947265625,-40,49
0.1328125,1.17401123046875,-31,41
0.117431640625,0.78460693359375,-20,28
0.12890625,0.5660400390625,-21,24
0.14532470703125,1.59686279296875,-45,55
0.21905517578125,1.37762451171875,-26,33
0.12298583984375,0.551513671875,-15,20
0.1162109375,0.7777099609375,-24,31
0.139892578125,1.34552001953125,-39,51
0.156005859375,1.51397705078125,-37,50
0.0972900390625,0.3919677734375,-12,16
0.453125,0.59375,-51,0
0.095703125,0.46820068359375,-55,34
0.07501220703125,1.76544189453125,-83,109
0.10565185546875,0.51318359375,-16,22
0.13720703125,0.34039306640625,-10,13
0.31610107421875,0.91632080078125,-95,102
0.1279296875,0.35382080078125,-11,15
0.1468505859375,1.44512939453125,-31,41
