l0 density,l1 density,min,max,image
0.05511474609375,0.440673828125,-17,21,batch_00419_protodune-orig-1-0-U.npz
0.1536865234375,2.29693603515625,-45,46,batch_00435_protodune-orig-2-5-U.npz
0.0118408203125,0.0118408203125,0,1,batch_00980_protodune-orig-5-5-U.npz
0.11444091796875,2.9979248046875,-104,115,batch_00922_protodune-orig-3-5-U.npz
0.06439208984375,0.8585205078125,-44,48,batch_00245_protodune-orig-2-3-U.npz
0.021240234375,0.2984619140625,-37,41,batch_00660_protodune-orig-3-4-U.npz
0.08489990234375,1.14776611328125,-40,44,batch_00883_protodune-orig-7-4-U.npz
0.156005859375,3.0789794921875,-76,76,batch_00934_protodune-orig-4-0-U.npz
0.04510498046875,0.2120361328125,-53,10,batch_00441_protodune-orig-2-1-U.npz
0.01470947265625,0.16522216796875,-24,29,batch_00490_protodune-orig-6-4-U.npz
0.05218505859375,0.4569091796875,-19,24,batch_00896_protodune-orig-1-1-U.npz
0.05548095703125,0.7554931640625,-35,43,batch_00044_protodune-orig-7-1-U.npz
0.02386474609375,0.0487060546875,-2,4,batch_00167_protodune-orig-5-1-U.npz
0.1507568359375,2.39617919921875,-51,52,batch_00038_protodune-orig-4-4-U.npz
0.05157470703125,0.53509521484375,-23,29,batch_00235_protodune-orig-9-4-U.npz
0.14715576171875,3.43048095703125,-93,96,batch_00563_protodune-orig-7-1-U.npz
0.34344482421875,6.57672119140625,-70,69,batch_00190_protodune-orig-7-5-U.npz
0.088623046875,1.1209716796875,-35,40,batch_00177_protodune-orig-7-0-U.npz
0.04766845703125,0.38446044921875,-16,21,batch_00774_protodune-orig-9-0-U.npz
0.30230712890625,5.50140380859375,-79,78,batch_00531_protodune-orig-0-5-U.npz
0.03326416015625,0.29931640625,-19,20,batch_00688_protodune-orig-4-3-U.npz
0.0478515625,0.5250244140625,-25,31,batch_00162_protodune-orig-9-3-U.npz
0.01318359375,0.015869140625,0,2,batch_00691_protodune-orig-0-2-U.npz
0.0943603515625,3.38909912109375,-153,181,batch_00497_protodune-orig-5-3-U.npz
0.047119140625,0.39984130859375,-17,22,batch_00046_protodune-orig-6-3-U.npz
