l0 density,l1 density,min,max,image
0.00634765625,0.04852294921875,-17,28,batch_00455_protodune-orig-1-4-V.npz
0.1689453125,2.559326171875,-39,43,batch_00700_protodune-orig-4-3-V.npz
0.1314697265625,2.881103515625,-52,56,batch_00120_protodune-orig-7-4-V.npz
0.03076171875,0.15582275390625,-8,10,batch_00445_protodune-orig-2-0-V.npz
0.0838623046875,0.99713134765625,-33,38,batch_00085_protodune-orig-6-1-V.npz
0.05267333984375,0.712646484375,-28,32,batch_00829_protodune-orig-1-1-V.npz
0.05462646484375,0.9498291015625,-41,45,batch_00516_protodune-orig-1-3-V.npz
0.03387451171875,0.4083251953125,-33,26,batch_00214_protodune-orig-1-1-V.npz
0.02728271484375,0.11474609375,-6,8,batch_00368_protodune-orig-3-0-V.npz
0.00848388671875,0.10626220703125,-53,31,batch_00713_protodune-orig-4-0-V.npz
0.056396484375,0.7734375,-29,33,batch_00898_protodune-orig-1-0-V.npz
0.05377197265625,0.94879150390625,-39,44,batch_00521_protodune-orig-3-1-V.npz
0.12518310546875,1.6136474609375,-35,39,batch_00299_protodune-orig-2-1-V.npz
0.07464599609375,1.4837646484375,-48,53,batch_00936_protodune-orig-7-2-V.npz
0.03192138671875,0.11663818359375,-6,7,batch_00862_protodune-orig-7-5-V.npz
0.0079345703125,0.062744140625,-43,11,batch_00624_protodune-orig-7-5-V.npz
0.05596923828125,0.71636962890625,-27,31,batch_00335_protodune-orig-2-0-V.npz
0.006591796875,0.3814697265625,-142,158,batch_00936_protodune-orig-2-5-V.npz
0.02105712890625,0.27325439453125,-31,35,batch_00995_protodune-orig-7-0-V.npz
0.10919189453125,2.03289794921875,-44,48,batch_00677_protodune-orig-0-2-V.npz
0.049072265625,0.74676513671875,-32,37,batch_00644_protodune-orig-8-1-V.npz
0.02215576171875,0.30206298828125,-30,34,batch_00892_protodune-orig-3-5-V.npz
0.0604248046875,0.43988037109375,-20,24,batch_00639_protodune-orig-2-1-V.npz
0.03009033203125,0.2025146484375,-11,14,batch_00788_protodune-orig-5-3-V.npz
0.044189453125,0.46197509765625,-21,24,batch_00964_protodune-orig-3-4-V.npz
0.00518798828125,0.02783203125,0,23,batch_00939_protodune-orig-9-5-V.npz
0.034423828125,0.40350341796875,-21,25,batch_00704_protodune-orig-1-2-V.npz
0.03778076171875,0.40087890625,-20,23,batch_00682_protodune-orig-8-4-V.npz
0.05499267578125,0.7222900390625,-27,31,batch_00987_protodune-orig-5-5-V.npz
0.033935546875,0.4910888671875,-26,30,batch_00089_protodune-orig-6-2-V.npz
0.03619384765625,0.30584716796875,-15,18,batch_00794_protodune-orig-9-0-V.npz
0.0263671875,0.17169189453125,-11,13,batch_00565_protodune-orig-3-5-V.npz
0.02716064453125,0.0565185546875,-3,4,batch_00726_protodune-orig-6-0-V.npz
0.07366943359375,1.1124267578125,-33,38,batch_00849_protodune-orig-1-5-V.npz
0.039794921875,0.52490234375,-30,34,batch_00252_protodune-orig-5-0-V.npz
0.009521484375,0.08184814453125,-33,19,batch_00951_protodune-orig-7-3-V.npz
0.020263671875,0.08172607421875,-7,9,batch_00726_protodune-orig-6-1-V.npz
0.040771484375,0.39251708984375,-18,21,batch_00125_protodune-orig-2-5-V.npz
0.0264892578125,0.810302734375,-76,83,batch_00497_protodune-orig-4-1-V.npz
0.03045654296875,0.52020263671875,-37,37,batch_00297_protodune-orig-3-3-V.npz
0.13525390625,2.3702392578125,-53,60,batch_00546_protodune-orig-1-5-V.npz
0.0150146484375,0.333251953125,-54,59,batch_00937_protodune-orig-6-5-V.npz
0.0548095703125,1.31817626953125,-60,65,batch_00503_protodune-orig-2-5-V.npz
0.0184326171875,0.4296875,-54,59,batch_00971_protodune-orig-7-1-V.npz
0.03631591796875,0.24285888671875,-12,14,batch_00194_protodune-orig-7-2-V.npz
0.0706787109375,1.28436279296875,-42,46,batch_00062_protodune-orig-8-1-V.npz
0.04998779296875,0.59283447265625,-38,42,batch_00304_protodune-orig-5-5-V.npz
0.06207275390625,1.09210205078125,-39,44,batch_00466_protodune-orig-9-1-V.npz
0.111572265625,2.44085693359375,-52,58,batch_00539_protodune-orig-2-0-V.npz
0.2425537109375,4.837646484375,-46,51,batch_00726_protodune-orig-2-4-V.npz
0.02813720703125,0.556884765625,-48,53,batch_00072_protodune-orig-1-1-V.npz
0.039794921875,0.70458984375,-39,44,batch_00598_protodune-orig-8-5-V.npz
0.02960205078125,0.49609375,-41,46,batch_00801_protodune-orig-2-4-V.npz
0.01092529296875,0.1121826171875,-20,24,batch_00249_protodune-orig-2-1-V.npz
0.03643798828125,1.060546875,-69,78,batch_00278_protodune-orig-5-1-V.npz
0.02618408203125,0.3392333984375,-27,31,batch_00455_protodune-orig-8-4-V.npz
0.036865234375,0.50213623046875,-32,35,batch_00526_protodune-orig-2-0-V.npz
0.0252685546875,0.3197021484375,-26,30,batch_00545_protodune-orig-8-1-V.npz
0.012451171875,0.012451171875,0,1,batch_00842_protodune-orig-7-2-V.npz
0.00494384765625,0.06219482421875,-51,16,batch_00135_protodune-orig-6-0-V.npz
0.06573486328125,0.9556884765625,-32,36,batch_00176_protodune-orig-6-2-V.npz
0.0089111328125,0.1805419921875,-50,54,batch_00469_protodune-orig-6-0-V.npz
0.0269775390625,0.439697265625,-43,38,batch_00791_protodune-orig-0-3-V.npz
0.07879638671875,1.13616943359375,-32,36,batch_00619_protodune-orig-7-1-V.npz
0.02264404296875,0.3555908203125,-37,41,batch_00807_protodune-orig-9-4-V.npz
0.0333251953125,0.1798095703125,-9,11,batch_00191_protodune-orig-1-5-V.npz
0.00994873046875,0.17578125,-34,43,batch_00421_protodune-orig-9-0-V.npz
0.033203125,0.34613037109375,-19,22,batch_00393_protodune-orig-3-5-V.npz
0.02685546875,0.05560302734375,-3,4,batch_00750_protodune-orig-9-0-V.npz
