l0 density,l1 density,min,max,image
0.047607421875,0.47320556640625,-40,43,batch_00073_protodune-orig-8-5-U.npz
0.03997802734375,0.3243408203125,-16,20,batch_00931_protodune-orig-5-1-U.npz
0.02947998046875,0.11212158203125,-6,8,batch_00344_protodune-orig-9-2-U.npz
0.04595947265625,0.61773681640625,-31,39,batch_00909_protodune-orig-5-2-U.npz
0.0965576171875,1.43328857421875,-44,51,batch_00659_protodune-orig-8-3-U.npz
0.0367431640625,0.21728515625,-10,13,batch_00438_protodune-orig-4-3-U.npz
0.19183349609375,3.49871826171875,-61,61,batch_00384_protodune-orig-1-1-U.npz
0.13909912109375,1.57232666015625,-30,34,batch_00118_protodune-orig-5-0-U.npz
0.029052734375,0.22027587890625,-16,20,batch_00637_protodune-orig-5-4-U.npz
0.04833984375,0.362060546875,-22,23,batch_00671_protodune-orig-0-1-U.npz
0.0625,0.61492919921875,-24,29,batch_00868_protodune-orig-2-5-U.npz
0.02703857421875,0.0858154296875,-4,6,batch_00947_protodune-orig-7-1-U.npz
0.03680419921875,0.35491943359375,-19,24,batch_00268_protodune-orig-9-1-U.npz
0.08197021484375,1.28521728515625,-60,61,batch_00343_protodune-orig-7-3-U.npz
0.0660400390625,1.40240478515625,-129,143,batch_00683_protodune-orig-1-5-U.npz
0.0587158203125,1.1138916015625,-54,56,batch_00613_protodune-orig-1-3-U.npz
0.04693603515625,0.39935302734375,-17,22,batch_00480_protodune-orig-7-4-U.npz
0.041259765625,0.421630859375,-21,27,batch_00795_protodune-orig-8-3-U.npz
0.07373046875,0.80963134765625,-27,31,batch_00924_protodune-orig-5-4-U.npz
0.05511474609375,0.771728515625,-51,55,batch_00123_protodune-orig-6-4-U.npz
0.039306640625,0.5447998046875,-34,35,batch_00305_protodune-orig-8-0-U.npz
0.03936767578125,0.33709716796875,-17,22,batch_01000_protodune-orig-5-5-U.npz
0.02886962890625,0.402587890625,-37,40,batch_00425_protodune-orig-0-3-U.npz
0.02447509765625,0.3155517578125,-40,48,batch_00578_protodune-orig-2-3-U.npz
0.0555419921875,0.8411865234375,-39,42,batch_00045_protodune-orig-8-0-U.npz
0.207275390625,2.52630615234375,-34,37,batch_00610_protodune-orig-2-3-U.npz
0.12017822265625,1.593505859375,-39,43,batch_00752_protodune-orig-4-1-U.npz
0.03924560546875,0.26763916015625,-12,16,batch_00667_protodune-orig-5-1-U.npz
0.03607177734375,0.1700439453125,-8,10,batch_00781_protodune-orig-1-3-U.npz
0.1070556640625,1.343994140625,-44,47,batch_00301_protodune-orig-9-4-U.npz
0.11859130859375,1.41107177734375,-32,36,batch_00361_protodune-orig-0-1-U.npz
0.120361328125,1.87347412109375,-52,54,batch_00374_protodune-orig-2-3-U.npz
0.13787841796875,2.73223876953125,-74,76,batch_00399_protodune-orig-2-1-U.npz
0.20257568359375,2.725341796875,-42,44,batch_00718_protodune-orig-4-3-U.npz
0.02978515625,0.09906005859375,-5,7,batch_00052_protodune-orig-9-3-U.npz
0.05303955078125,0.53314208984375,-43,45,batch_00169_protodune-orig-9-1-U.npz
0.04998779296875,1.00970458984375,-70,85,batch_00453_protodune-orig-2-0-U.npz
0.06683349609375,0.73876953125,-27,33,batch_00458_protodune-orig-1-0-U.npz
0.23492431640625,6.81549072265625,-82,84,batch_00416_protodune-orig-3-2-U.npz
0.03790283203125,0.53631591796875,-30,37,batch_00831_protodune-orig-1-1-U.npz
0.10076904296875,2.28125,-81,92,batch_00930_protodune-orig-0-4-U.npz
0.0614013671875,0.5506591796875,-20,24,batch_00403_protodune-orig-4-0-U.npz
0.05059814453125,0.83514404296875,-50,51,batch_00102_protodune-orig-9-1-U.npz
0.0838623046875,0.90423583984375,-38,41,batch_00344_protodune-orig-2-3-U.npz
0.1239013671875,1.86700439453125,-45,46,batch_00970_protodune-orig-7-2-U.npz
0.0457763671875,0.3660888671875,-16,20,batch_00295_protodune-orig-7-1-U.npz
0.08966064453125,1.73822021484375,-66,73,batch_00063_protodune-orig-1-4-U.npz
0.06329345703125,0.58087158203125,-21,26,batch_00220_protodune-orig-2-2-U.npz
0.1505126953125,1.53936767578125,-25,30,batch_00974_protodune-orig-2-3-U.npz
0.0384521484375,0.2158203125,-10,13,batch_00704_protodune-orig-3-2-U.npz
0.0352783203125,0.32611083984375,-18,23,batch_00795_protodune-orig-9-4-U.npz
0.03497314453125,0.1461181640625,-7,9,batch_00256_protodune-orig-4-3-U.npz
0.1346435546875,1.79693603515625,-40,43,batch_00897_protodune-orig-8-4-U.npz
0.057373046875,0.78369140625,-36,43,batch_00136_protodune-orig-9-3-U.npz
0.03131103515625,0.1356201171875,-19,8,batch_00615_protodune-orig-1-1-U.npz
0.0391845703125,0.2705078125,-13,17,batch_00465_protodune-orig-8-4-U.npz
0.0263671875,0.1943359375,-14,17,batch_00411_protodune-orig-0-0-U.npz
0.03875732421875,0.2864990234375,-14,18,batch_00829_protodune-orig-0-0-U.npz
0.1522216796875,1.8763427734375,-35,38,batch_00804_protodune-orig-0-5-U.npz
0.10443115234375,1.623779296875,-47,54,batch_00438_protodune-orig-8-2-U.npz
0.31890869140625,3.5401611328125,-29,32,batch_00536_protodune-orig-2-3-U.npz
0.03961181640625,0.295166015625,-14,18,batch_00990_protodune-orig-7-4-U.npz
0.1163330078125,1.615966796875,-40,46,batch_00908_protodune-orig-8-2-U.npz
0.133544921875,2.46868896484375,-69,88,batch_00358_protodune-orig-9-5-U.npz
0.0308837890625,0.3017578125,-66,70,batch_00753_protodune-orig-8-0-U.npz
0.0401611328125,0.99261474609375,-67,72,batch_00189_protodune-orig-1-4-U.npz
0.2625732421875,4.43817138671875,-44,45,batch_00122_protodune-orig-1-3-U.npz
0.02813720703125,0.28668212890625,-60,59,batch_00750_protodune-orig-0-1-U.npz
0.1356201171875,1.461181640625,-27,31,batch_00428_protodune-orig-3-5-U.npz
0.0577392578125,0.92327880859375,-40,43,batch_00003_protodune-orig-4-3-U.npz
0.03076171875,0.132568359375,-8,12,batch_00460_protodune-orig-7-1-U.npz
0.2083740234375,4.06298828125,-74,74,batch_00571_protodune-orig-1-4-U.npz
0.18157958984375,2.43719482421875,-40,44,batch_00081_protodune-orig-6-5-U.npz
0.046875,0.3907470703125,-17,22,batch_00826_protodune-orig-8-4-U.npz
0.0260009765625,0.2528076171875,-38,33,batch_00608_protodune-orig-5-3-U.npz
0.038330078125,0.225341796875,-10,14,batch_00279_protodune-orig-0-0-U.npz
0.0948486328125,1.8153076171875,-132,98,batch_00999_protodune-orig-5-3-U.npz
0.10406494140625,1.29345703125,-35,39,batch_00446_protodune-orig-4-3-U.npz
0.03631591796875,0.25701904296875,-13,17,batch_00380_protodune-orig-0-2-U.npz
0.0469970703125,0.4512939453125,-20,25,batch_00715_protodune-orig-8-4-U.npz
0.0718994140625,0.8052978515625,-29,34,batch_00650_protodune-orig-8-5-U.npz
0.0931396484375,1.08880615234375,-31,35,batch_00216_protodune-orig-3-5-U.npz
0.13336181640625,5.57574462890625,-208,239,batch_00910_protodune-orig-4-0-U.npz
0.123779296875,1.75335693359375,-44,47,batch_00587_protodune-orig-9-3-U.npz
0.09588623046875,0.46240234375,-11,15,batch_00263_protodune-orig-1-3-U.npz
0.13232421875,1.90167236328125,-46,48,batch_00710_protodune-orig-5-4-U.npz
0.3602294921875,6.7783203125,-75,79,batch_00147_protodune-orig-6-0-U.npz
0.058349609375,0.60235595703125,-24,30,batch_00134_protodune-orig-3-5-U.npz
0.05316162109375,0.58526611328125,-26,32,batch_00098_protodune-orig-5-1-U.npz
0.02520751953125,0.1439208984375,-11,12,batch_00778_protodune-orig-2-3-U.npz
0.03302001953125,0.11431884765625,-5,7,batch_00123_protodune-orig-2-3-U.npz
0.04052734375,0.23431396484375,-10,13,batch_00671_protodune-orig-7-0-U.npz
0.04583740234375,0.52532958984375,-25,33,batch_00816_protodune-orig-3-0-U.npz
0.03192138671875,0.15179443359375,-33,9,batch_00984_protodune-orig-3-2-U.npz
0.0733642578125,0.896484375,-32,38,batch_00874_protodune-orig-9-5-U.npz
0.373046875,5.80633544921875,-51,57,batch_00387_protodune-orig-6-3-U.npz
0.0316162109375,0.51763916015625,-40,45,batch_00426_protodune-orig-6-2-U.npz
0.03411865234375,0.13818359375,-22,8,batch_00266_protodune-orig-0-4-U.npz
0.0728759765625,0.6934814453125,-22,27,batch_00125_protodune-orig-4-5-U.npz
0.05560302734375,1.257568359375,-65,79,batch_00417_protodune-orig-0-3-U.npz
0.0517578125,0.42041015625,-17,21,batch_00344_protodune-orig-7-4-U.npz
0.1429443359375,1.791748046875,-34,37,batch_00226_protodune-orig-0-5-U.npz
0.31707763671875,4.15899658203125,-37,40,batch_00860_protodune-orig-7-4-U.npz
0.08404541015625,0.92156982421875,-28,33,batch_00825_protodune-orig-2-4-U.npz
0.06561279296875,1.03363037109375,-45,53,batch_00312_protodune-orig-5-1-U.npz
0.068115234375,2.22406005859375,-115,140,batch_00555_protodune-orig-0-5-U.npz
0.06488037109375,0.7332763671875,-28,34,batch_00026_protodune-orig-3-0-U.npz
0.1099853515625,1.212158203125,-28,32,batch_00750_protodune-orig-8-1-U.npz
0.16033935546875,2.217041015625,-44,46,batch_00822_protodune-orig-7-3-U.npz
0.09747314453125,1.03826904296875,-37,39,batch_00563_protodune-orig-1-1-U.npz
0.06048583984375,0.62652587890625,-25,30,batch_00184_protodune-orig-5-5-U.npz
0.0467529296875,0.5589599609375,-31,39,batch_00785_protodune-orig-5-0-U.npz
0.05902099609375,0.67047119140625,-33,36,batch_00600_protodune-orig-1-3-U.npz
0.12933349609375,2.0316162109375,-63,85,batch_00717_protodune-orig-1-5-U.npz
0.08123779296875,1.12158203125,-37,42,batch_00960_protodune-orig-8-4-U.npz
0.07855224609375,1.54205322265625,-72,86,batch_00793_protodune-orig-4-3-U.npz
0.186279296875,3.92584228515625,-117,136,batch_00559_protodune-orig-8-5-U.npz
0.02508544921875,0.05206298828125,-2,4,batch_00526_protodune-orig-8-3-U.npz
0.0372314453125,0.36090087890625,0,48,batch_00922_protodune-orig-0-1-U.npz
0.07379150390625,0.816650390625,-28,33,batch_00449_protodune-orig-4-1-U.npz
