l0 density mean,l0 density std,l1 density mean,l1 density std,min signal,plane,class
0.07352752685546875,0.06878864048192809,1.030016387939453,1.3376700056927482,100,U,fake
0.158610595703125,0.11591614585385268,1.2469961547851562,1.5547726233334591,100,U,real
0.054066864013671875,0.04463918580008905,0.914845947265625,1.1393294960687348,100,V,fake
0.08943576049804687,0.04694244591936879,1.066968017578125,1.3508325684663003,100,V,real
0.20796810913085936,0.22108427729248553,1.7522584533691405,1.894124634728622,100,W,fake
0.24881100463867187,0.2303170037069982,1.7917098999023438,1.9113349698411843,100,W,real
0.07163339233398437,0.0627060802259729,0.9832682495117188,1.198334041195072,150,U,fake
0.154934326171875,0.10728721432374418,1.1952362060546875,1.3958913480471455,150,U,real
0.05794619750976562,0.04777480960573905,0.9977734680175782,1.2193858612955972,150,V,fake
0.09178213500976562,0.04605431028795647,1.1652094421386718,1.4527329700201288,150,V,real
0.21328265380859374,0.21218697837141667,1.81037841796875,1.849933772170228,150,W,fake
0.25843038940429686,0.223050660667357,1.8542031555175782,1.8741947091965454,150,W,real
0.07351034545898437,0.06387990732221144,1.034116485595703,1.3016382319781528,200,U,fake
0.1620032958984375,0.1103595534119172,1.2568712768554688,1.5150286221936653,200,U,real
0.057761871337890625,0.04625076068524223,0.9677862548828124,1.1456699607056606,200,V,fake
0.09235601806640625,0.04465103794319668,1.12891796875,1.3639708383489526,200,V,real
0.21837628173828125,0.21793289293620846,1.7540098876953125,2.0357340848127463,200,W,fake
0.26094061279296876,0.22683435781606365,1.795150390625,2.0524672039057505,200,W,real
0.07427099609375,0.061733014575105154,1.0317019653320312,1.2177682352779438,250,U,fake
0.1621385498046875,0.10779589197503626,1.2536066589355468,1.4230781649936186,250,U,real
0.06026727294921875,0.04729960195190116,1.023576904296875,1.1444627056067984,250,V,fake
0.09583233642578125,0.044108184193342115,1.1935677795410156,1.3604667160627844,250,V,real
0.2204229736328125,0.21829161791037138,1.78564013671875,1.8741084620242456,250,W,fake
0.2636016540527344,0.2257966839126461,1.8287317199707032,1.8930839187989659,250,W,real
0.07498831176757813,0.06230537336500414,1.0263860473632813,1.2407268422864917,300,U,fake
0.16156460571289064,0.10605434171760318,1.2476648254394531,1.4499208189860393,300,U,real
0.061183929443359375,0.046667489041336496,1.0560634155273438,1.187112576527181,300,V,fake
0.09665362548828126,0.04313036687945575,1.2314841918945312,1.4149276938592976,300,V,real
0.22229437255859374,0.21176321123938022,1.8357952880859374,1.7840198774780864,300,W,fake
0.26710504150390624,0.22075127223948204,1.8783984069824218,1.806281370883325,300,W,real
0.0781812744140625,0.06161237575807275,1.095046173095703,1.251892079959492,350,U,fake
0.16597625732421875,0.10510730555300701,1.3249432067871094,1.460865238057965,350,U,real
0.0630992431640625,0.047682376583351706,1.0876558837890624,1.205634013231526,350,V,fake
0.09857586669921875,0.04423674093347456,1.2702848205566406,1.4455652775929888,350,V,real
0.23357806396484376,0.2241400510986722,1.8250775451660157,1.7790486986031062,350,W,fake
0.27303851318359373,0.2273932472167766,1.8634921264648439,1.798408951420401,350,W,real
0.08362457275390625,0.0688138075486311,1.1840860290527344,1.3754166098088105,400,U,fake
0.17340853881835938,0.11450659950387014,1.4256453857421876,1.5970503014761652,400,U,real
0.06406710815429688,0.04782811123639839,1.1101631774902343,1.2196961481456705,400,V,fake
0.0996112060546875,0.04224590932588761,1.2925116577148437,1.4565214904498116,400,V,real
0.22821575927734375,0.21716868165218756,1.8297929077148438,1.7785663096446942,400,W,fake
0.2726292114257812,0.22370630262278235,1.8745078735351564,1.8026289165564016,400,W,real
0.08357589721679687,0.06583189049740218,1.174352264404297,1.3159993704500708,450,U,fake
0.17488919067382813,0.11556647658299088,1.416907470703125,1.5254544534049819,450,U,real
0.06735604858398438,0.04824812513538767,1.1995426940917968,1.3593888934246792,450,V,fake
0.10244772338867188,0.044594038656876576,1.3991751098632812,1.6298403417120713,450,V,real
0.2320302734375,0.22134892915031054,1.8944171142578126,1.7630484173159944,450,W,fake
0.27425106811523436,0.22458355615348724,1.9361593322753907,1.7823819473218667,450,W,real
0.08592425537109374,0.06505293394048335,1.2095671691894532,1.3289629796250915,500,U,fake
0.17737033081054687,0.11649514732218903,1.4571386108398436,1.5488521781046132,500,U,real
0.0708448486328125,0.04915676815328791,1.2537192993164064,1.2966671174632223,500,V,fake
0.10608651733398437,0.04535970112319916,1.4617118835449219,1.5536845478818504,500,V,real
0.23512173461914063,0.22236153518070761,1.8876976013183593,1.8424301337975681,500,W,fake
0.27811041259765623,0.22439988405497852,1.9301940002441407,1.8539444736667225,500,W,real
0.06895501708984375,0.0660509120624093,0.9467893371582031,1.258263075717232,50,U,fake
0.1506250305175781,0.11539322527576512,1.1487934875488282,1.4705295267677254,50,U,real
0.05361624145507812,0.04828899610322268,0.878517822265625,1.081647106133657,50,V,fake
0.08671627807617187,0.048872852827401295,1.0274176330566407,1.2889482285851812,50,V,real
0.20828817749023437,0.21680619740242724,1.6737370300292969,1.771462386617171,50,W,fake
0.2500455322265625,0.22560382358127953,1.7147743835449218,1.793986676308958,50,W,real
